query,estimated_rows,actual_rows,startup_cost,total_cost,execution_time_ms,q_error,correlation_feature,join_count,selectivity
"SELECT *
    FROM orders
    WHERE o_totalprice > 1000;",1499808,1499840,0.0,46422.0,330.904,1.0000213360643495,0.0258,0,0.9998933333333333
"SELECT *
        FROM orders
        WHERE o_orderstatus = 'F'
        AND o_totalprice > 1000;",732606,729326,0.0,50172.0,311.562,1.0044973029893354,0.0258,0,0.48621733333333333
"SELECT *
        FROM customer c
        JOIN orders o
        ON c.c_custkey = o.o_custkey
        WHERE o.o_orderstatus = 'F'
        AND o.o_totalprice > 1000;",732606,729326,10545.0,98486.33,932.843,1.0044973029893354,0.0258,1,0.48621733333333333
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1992-01-01'
            AND l_commitdate < '1992-01-01'
            AND l_discount > 0.04;",1,0,1000.0,163311.89,386.644,1.0,0.9984,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1992-01-01';",319,0,199579.12,204270.94,446.259,319.0,0.9984,2,0.0
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1993-01-01'
            AND l_commitdate < '1993-01-01'
            AND l_discount > 0.04;",54072,391187,1000.0,168718.99,446.09,7.23455762686788,0.9984,0,0.0651846334450607
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1993-01-01';",419472,412781,61281.25,290565.28,1607.975,1.0162095639091915,0.9984,2,0.06878290479511233
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1994-01-01'
            AND l_commitdate < '1994-01-01'
            AND l_discount > 0.04;",254698,887768,1000.0,188781.59,511.409,3.4855711470054733,0.9984,0,0.14793137722944438
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1994-01-01';",908584,909381,61281.25,362207.35,1950.227,1.0008771891206536,0.9984,2,0.15153281460504248
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1995-01-01'
            AND l_commitdate < '1995-01-01'
            AND l_discount > 0.04;",605227,1382990,0.0,223575.5,1165.048,2.2850765084835936,0.9984,0,0.230451666870792
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1995-01-01';",1402542,1404661,61281.25,434560.01,2347.113,1.0015108281962322,0.9984,2,0.2340627689559531
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1996-01-01'
            AND l_commitdate < '1996-01-01'
            AND l_discount > 0.04;",1103612,1881985,0.0,223575.5,1213.493,1.7052958829733638,0.9984,0,0.31360066253250385
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1996-01-01';",1892078,1903577,100588.53,502399.33,3542.89,1.0060774450101952,0.9984,2,0.31719860061670846
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1997-01-01'
            AND l_commitdate < '1997-01-01'
            AND l_discount > 0.04;",1742597,2379750,0.0,223575.5,1307.303,1.3656341655586461,0.9984,0,0.3965446996983111
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1997-01-01';",2379377,2401529,100588.53,559876.74,3672.039,1.0093100000546362,0.9984,2,0.40017379813921017
"SELECT *
        FROM orders
        WHERE o_orderstatus = 'O'
        AND o_totalprice > 1000;",728407,731971,0.0,50172.0,308.708,1.0048928689592493,0.0258,0,0.4879806666666667
"SELECT *
        FROM customer c
        JOIN orders o
        ON c.c_custkey = o.o_custkey
        WHERE o.o_orderstatus = 'O'
        AND o.o_totalprice > 1000;",728407,731971,10545.0,98288.6,888.982,1.0048928689592493,0.0258,1,0.4879806666666667
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1992-01-01'
            AND l_commitdate < '1992-01-01'
            AND l_discount > 0.04;",1,0,1000.0,163311.89,373.978,1.0,0.9984,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1992-01-01';",319,0,199579.12,204270.94,437.237,319.0,0.9984,2,0.0
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1993-01-01'
            AND l_commitdate < '1993-01-01'
            AND l_discount > 0.04;",54072,391187,1000.0,168718.99,436.652,7.23455762686788,0.9984,0,0.0651846334450607
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1993-01-01';",419472,412781,61281.25,290565.28,1619.349,1.0162095639091915,0.9984,2,0.06878290479511233
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1994-01-01'
            AND l_commitdate < '1994-01-01'
            AND l_discount > 0.04;",254698,887768,1000.0,188781.59,513.173,3.4855711470054733,0.9984,0,0.14793137722944438
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1994-01-01';",908584,909381,61281.25,362207.35,2004.974,1.0008771891206536,0.9984,2,0.15153281460504248
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1995-01-01'
            AND l_commitdate < '1995-01-01'
            AND l_discount > 0.04;",605227,1382990,0.0,223575.5,1126.618,2.2850765084835936,0.9984,0,0.230451666870792
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1995-01-01';",1402542,1404661,61281.25,434560.01,2372.084,1.0015108281962322,0.9984,2,0.2340627689559531
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1996-01-01'
            AND l_commitdate < '1996-01-01'
            AND l_discount > 0.04;",1103612,1881985,0.0,223575.5,1210.602,1.7052958829733638,0.9984,0,0.31360066253250385
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1996-01-01';",1892078,1903577,100588.53,502399.33,3468.801,1.0060774450101952,0.9984,2,0.31719860061670846
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1997-01-01'
            AND l_commitdate < '1997-01-01'
            AND l_discount > 0.04;",1742597,2379750,0.0,223575.5,1310.544,1.3656341655586461,0.9984,0,0.3965446996983111
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1997-01-01';",2379377,2401529,100588.53,559876.74,3652.065,1.0093100000546362,0.9984,2,0.40017379813921017
"SELECT *
        FROM orders
        WHERE o_orderstatus = 'P'
        AND o_totalprice > 1000;",38795,38543,1000.0,41926.5,126.318,1.0065381521936538,0.0258,0,0.025695333333333334
"SELECT *
        FROM customer c
        JOIN orders o
        ON c.c_custkey = o.o_custkey
        WHERE o.o_orderstatus = 'P'
        AND o.o_totalprice > 1000;",38795,38543,38249.06,47324.04,144.091,1.0065381521936538,0.0258,1,0.025695333333333334
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1992-01-01'
            AND l_commitdate < '1992-01-01'
            AND l_discount > 0.04;",1,0,1000.0,163311.89,374.106,1.0,0.9984,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1992-01-01';",319,0,199579.12,204270.94,440.308,319.0,0.9984,2,0.0
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1993-01-01'
            AND l_commitdate < '1993-01-01'
            AND l_discount > 0.04;",54072,391187,1000.0,168718.99,436.063,7.23455762686788,0.9984,0,0.0651846334450607
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1993-01-01';",419472,412781,61281.25,290565.28,1619.881,1.0162095639091915,0.9984,2,0.06878290479511233
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1994-01-01'
            AND l_commitdate < '1994-01-01'
            AND l_discount > 0.04;",254698,887768,1000.0,188781.59,510.988,3.4855711470054733,0.9984,0,0.14793137722944438
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1994-01-01';",908584,909381,61281.25,362207.35,1975.622,1.0008771891206536,0.9984,2,0.15153281460504248
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1995-01-01'
            AND l_commitdate < '1995-01-01'
            AND l_discount > 0.04;",605227,1382990,0.0,223575.5,1133.592,2.2850765084835936,0.9984,0,0.230451666870792
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1995-01-01';",1402542,1404661,61281.25,434560.01,2378.653,1.0015108281962322,0.9984,2,0.2340627689559531
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1996-01-01'
            AND l_commitdate < '1996-01-01'
            AND l_discount > 0.04;",1103612,1881985,0.0,223575.5,1212.084,1.7052958829733638,0.9984,0,0.31360066253250385
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1996-01-01';",1892078,1903577,100588.53,502399.33,3457.601,1.0060774450101952,0.9984,2,0.31719860061670846
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1997-01-01'
            AND l_commitdate < '1997-01-01'
            AND l_discount > 0.04;",1742597,2379750,0.0,223575.5,1291.524,1.3656341655586461,0.9984,0,0.3965446996983111
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1997-01-01';",2379377,2401529,100588.53,559876.74,3663.638,1.0093100000546362,0.9984,2,0.40017379813921017
"SELECT *
    FROM orders
    WHERE o_totalprice > 3500;",1491211,1491485,0.0,46422.0,320.013,1.0001837432797906,0.0258,0,0.9943233333333333
"SELECT *
        FROM orders
        WHERE o_orderstatus = 'F'
        AND o_totalprice > 3500;",728407,725163,0.0,50172.0,365.434,1.0044734769975854,0.0258,0,0.483442
"SELECT *
        FROM customer c
        JOIN orders o
        ON c.c_custkey = o.o_custkey
        WHERE o.o_orderstatus = 'F'
        AND o.o_totalprice > 3500;",728407,725163,10545.0,98288.6,903.891,1.0044734769975854,0.0258,1,0.483442
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1992-01-01'
            AND l_commitdate < '1992-01-01'
            AND l_discount > 0.04;",1,0,1000.0,163311.89,371.232,1.0,0.9984,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1992-01-01';",317,0,199538.81,204230.43,437.683,317.0,0.9984,2,0.0
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1993-01-01'
            AND l_commitdate < '1993-01-01'
            AND l_discount > 0.04;",54072,391187,1000.0,168718.99,435.151,7.23455762686788,0.9984,0,0.0651846334450607
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1993-01-01';",417068,412190,61177.47,290087.99,1635.85,1.0118343482374632,0.9984,2,0.06868442473732403
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1994-01-01'
            AND l_commitdate < '1994-01-01'
            AND l_discount > 0.04;",254698,887768,1000.0,188781.59,510.704,3.4855711470054733,0.9984,0,0.14793137722944438
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1994-01-01';",903376,908066,61177.47,361367.56,1974.113,1.0051916367049822,0.9984,2,0.15131369231064043
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1995-01-01'
            AND l_commitdate < '1995-01-01'
            AND l_discount > 0.04;",605227,1382990,0.0,223575.5,1142.855,2.2850765084835936,0.9984,0,0.230451666870792
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1995-01-01';",1394503,1402651,61177.47,433350.85,2360.887,1.0058429418939938,0.9984,2,0.23372783677971878
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1996-01-01'
            AND l_commitdate < '1996-01-01'
            AND l_discount > 0.04;",1103612,1881985,0.0,223575.5,1205.4,1.7052958829733638,0.9984,0,0.31360066253250385
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1996-01-01';",1881232,1900864,100267.4,500844.78,3450.119,1.0104357144679657,0.9984,2,0.3167465254952539
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1997-01-01'
            AND l_commitdate < '1997-01-01'
            AND l_discount > 0.04;",1742597,2379750,0.0,223575.5,1287.841,1.3656341655586461,0.9984,0,0.3965446996983111
