query,estimated_rows,actual_rows,startup_cost,total_cost,execution_time_ms,q_error,correlation_feature,join_count,selectivity,predicate_count,estimated_selectivity,query_complexity,correlation_strength
"SELECT *
    FROM orders
    WHERE o_totalprice > 1000;",1499808,1499840,0.0,46422.0,330.904,1.0000213360643495,0.0258,0,0.9998933333333332,2,0.9998933333333332,0,0.0
"SELECT *
        FROM orders
        WHERE o_orderstatus = 'F'
        AND o_totalprice > 1000;",732606,729326,0.0,50172.0,311.562,1.0044973029893354,0.0258,0,0.4862173333333333,4,0.4862173333333333,0,0.0
"SELECT *
        FROM customer c
        JOIN orders o
        ON c.c_custkey = o.o_custkey
        WHERE o.o_orderstatus = 'F'
        AND o.o_totalprice > 1000;",732606,729326,10545.0,98486.33,932.843,1.0044973029893354,0.0258,1,0.4862173333333333,4,0.4862173333333333,4,1.9448693333333331
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1992-01-01'
            AND l_commitdate < '1992-01-01'
            AND l_discount > 0.04;",1,0,1000.0,163311.89,386.644,1.0,0.9984,0,0.0,3,1e-06,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1992-01-01';",319,0,199579.12,204270.94,446.259,319.0,0.9984,2,0.0,6,1e-06,12,0.0
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1993-01-01'
            AND l_commitdate < '1993-01-01'
            AND l_discount > 0.04;",54072,391187,1000.0,168718.99,446.09,7.23455762686788,0.9984,0,0.0651846334450607,3,0.0651846334450607,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1993-01-01';",419472,412781,61281.25,290565.28,1607.975,1.0162095639091917,0.9984,2,0.0687829047951123,6,0.0687829047951123,12,0.8253948575413477
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1994-01-01'
            AND l_commitdate < '1994-01-01'
            AND l_discount > 0.04;",254698,887768,1000.0,188781.59,511.409,3.4855711470054733,0.9984,0,0.1479313772294443,3,0.1479313772294443,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1994-01-01';",908584,909381,61281.25,362207.35,1950.227,1.0008771891206536,0.9984,2,0.1515328146050424,6,0.1515328146050424,12,1.8183937752605086
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1995-01-01'
            AND l_commitdate < '1995-01-01'
            AND l_discount > 0.04;",605227,1382990,0.0,223575.5,1165.048,2.2850765084835936,0.9984,0,0.230451666870792,3,0.23045166687079197,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1995-01-01';",1402542,1404661,61281.25,434560.01,2347.113,1.0015108281962322,0.9984,2,0.2340627689559531,6,0.2340627689559531,12,2.808753227471437
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1996-01-01'
            AND l_commitdate < '1996-01-01'
            AND l_discount > 0.04;",1103612,1881985,0.0,223575.5,1213.493,1.7052958829733638,0.9984,0,0.3136006625325038,3,0.3136006625325038,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1996-01-01';",1892078,1903577,100588.53,502399.33,3542.89,1.0060774450101952,0.9984,2,0.3171986006167084,6,0.3171986006167084,12,3.8063832074005006
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1997-01-01'
            AND l_commitdate < '1997-01-01'
            AND l_discount > 0.04;",1742597,2379750,0.0,223575.5,1307.303,1.365634165558646,0.9984,0,0.3965446996983111,3,0.3965446996983111,0,0.0
