joins,where,groupby,orderby,length,runtime_ms
0,1,0,0,41,24.35588836669922
3,1,0,0,244,193.27449798583984
0,0,0,1,50,9.29880142211914
0,1,0,0,42,67.72470474243164
0,0,1,0,54,8.854866027832031
3,1,0,0,244,192.2619342803955
1,1,0,0,132,126.78718566894531
0,0,1,0,54,8.735418319702148
1,0,1,0,131,13.567447662353516
0,1,0,0,38,13.89312744140625
0,0,1,0,54,9.101390838623047
0,0,1,0,49,2.6361942291259766
0,1,0,0,38,34.42645072937012
0,1,0,0,42,69.62299346923828
0,1,0,0,38,68.32766532897949
0,0,0,1,51,8.475542068481445
1,1,0,0,132,127.53415107727051
0,0,1,0,55,9.339570999145508
0,0,1,0,54,8.729934692382812
0,0,1,0,55,9.237289428710938
0,1,0,0,38,13.915538787841797
0,1,0,0,41,23.038148880004883
0,1,0,0,41,22.802352905273438
3,1,0,0,244,191.90001487731934
0,1,0,0,38,13.892173767089844
0,1,0,0,42,68.19891929626465
0,1,0,0,52,69.23341751098633
0,1,0,0,42,77.07405090332031
0,1,0,0,41,22.934913635253906
0,1,0,0,44,45.50457000732422
0,1,0,0,49,23.11992645263672
0,1,0,0,52,70.24598121643066
0,1,0,0,38,69.19097900390625
0,0,1,0,49,2.819538116455078
0,1,0,0,44,47.197580337524414
1,0,1,0,131,16.43657684326172
0,0,1,0,54,8.799314498901367
0,1,0,0,60,13.573408126831055
0,1,0,0,49,29.417037963867188
3,1,0,0,244,207.6740264892578
0,1,0,0,38,14.382123947143555
0,1,0,0,60,12.925386428833008
0,1,0,0,38,54.97622489929199
0,0,0,1,50,9.493827819824219
0,1,0,0,41,23.436546325683594
0,1,0,0,38,68.41230392456055
0,0,1,0,55,9.680747985839844
0,1,0,0,60,12.519598007202148
3,1,0,0,244,194.13208961486816
3,1,0,0,244,199.10717010498047
0,1,0,0,42,69.43988800048828
0,1,0,0,52,78.59587669372559
0,0,1,0,54,8.75401496887207
0,0,1,0,49,2.246379852294922
0,1,0,0,52,68.19629669189453
0,1,0,0,49,22.816896438598633
0,1,0,0,38,13.882875442504883
0,1,0,0,38,13.664722442626953
3,1,0,0,244,189.75257873535156
0,1,0,0,38,13.743877410888672
0,1,0,0,42,67.04068183898926
0,1,0,0,44,45.07803916931152
2,0,1,1,244,26.882410049438477
0,0,1,0,49,2.4695396423339844
0,1,0,0,49,22.383451461791992
2,0,1,1,244,27.28581428527832
0,0,0,1,50,9.02414321899414
0,1,0,0,52,67.99793243408203
2,0,1,1,244,27.44293212890625
0,0,1,0,54,8.70203971862793
3,1,0,0,244,190.0045871734619
3,1,0,0,244,190.44113159179688
0,1,0,0,52,69.15163993835449
0,1,0,0,42,67.79646873474121
0,1,0,0,44,45.23348808288574
2,0,1,1,244,26.897668838500977
0,1,0,0,38,13.682365417480469
0,1,0,0,38,33.531904220581055
0,1,0,0,38,33.61082077026367
0,1,0,0,60,12.338876724243164
0,1,0,0,49,22.446155548095703
0,0,1,0,54,8.801460266113281
0,0,1,0,54,8.128166198730469
0,1,0,0,38,32.98473358154297
0,1,0,0,38,67.22712516784668
0,1,0,0,41,22.828102111816406
0,1,0,0,41,22.59540557861328
0,0,1,0,54,8.768320083618164
0,1,0,0,41,23.008346557617188
3,1,0,0,244,193.95971298217773
1,1,0,0,132,126.05977058410645
0,0,0,1,50,9.135007858276367
0,1,0,0,44,44.99959945678711
0,1,0,0,41,23.593425750732422
1,1,0,0,132,124.37057495117188
0,0,1,0,54,8.760929107666016
0,0,0,1,50,9.008407592773438
0,0,1,0,54,8.845090866088867
0,1,0,0,49,22.45926856994629
0,0,1,0,49,2.4466514587402344
0,1,0,0,41,22.582530975341797
2,0,1,1,244,26.619911193847656
2,0,1,1,244,26.99136734008789
3,1,0,0,244,190.41013717651367
0,0,1,0,49,2.5458335876464844
0,0,1,0,49,2.354145050048828
0,1,0,0,38,33.2338809967041
0,1,0,0,38,13.737201690673828
0,1,0,0,49,22.32837677001953
0,0,1,0,54,8.517026901245117
1,0,1,0,131,12.749910354614258
2,0,1,1,244,26.593446731567383
0,1,0,0,42,67.10219383239746
0,1,0,0,44,45.213937759399414
0,0,1,0,49,2.5272369384765625
0,1,0,0,60,12.270927429199219
0,0,1,0,49,2.3965835571289062
3,1,0,0,244,190.24229049682617
0,1,0,0,38,33.51640701293945
0,1,0,0,42,68.00150871276855
0,1,0,0,49,22.75538444519043
0,1,0,0,44,46.03457450866699
3,1,0,0,244,193.78423690795898
0,1,0,0,44,46.529531478881836
1,0,1,0,131,12.918949127197266
0,1,0,0,41,22.939205169677734
0,1,0,0,60,12.391090393066406
0,0,1,0,55,8.770942687988281
0,1,0,0,60,12.247562408447266
0,0,1,0,49,2.5038719177246094
0,1,0,0,41,22.776365280151367
0,1,0,0,38,13.596057891845703
0,1,0,0,42,82.89718627929688
0,0,0,1,51,8.266925811767578
0,1,0,0,42,68.28951835632324
0,0,1,0,49,2.735137939453125
0,1,0,0,60,12.590169906616211
0,0,1,0,54,8.526086807250977
0,0,1,0,55,10.237932205200195
0,0,1,0,49,2.5250911712646484
0,1,0,0,41,28.455495834350586
0,1,0,0,41,23.350954055786133
2,0,1,1,244,27.481555938720703
1,1,0,0,132,126.34134292602539
0,1,0,0,44,45.60589790344238
0,1,0,0,41,22.795915603637695
1,0,1,0,131,13.043880462646484
0,0,1,0,49,2.514362335205078
0,0,0,1,51,8.081197738647461
0,0,1,0,49,2.3326873779296875
0,1,0,0,38,67.12532043457031
0,1,0,0,49,22.705793380737305
0,0,0,1,51,8.157491683959961
0,0,1,0,54,8.723735809326172
0,1,0,0,41,22.593975067138672
0,1,0,0,38,33.53381156921387
0,1,0,0,41,22.746801376342773
0,0,0,1,50,9.25302505493164
0,1,0,0,49,22.64118194580078
0,1,0,0,38,13.855218887329102
1,0,1,0,131,13.208150863647461
0,0,1,0,54,8.751153945922852
0,0,0,1,50,8.967876434326172
0,1,0,0,49,22.393226623535156
0,1,0,0,41,22.790193557739258
0,0,0,1,51,8.167266845703125
0,0,1,0,55,8.833885192871094
0,1,0,0,60,12.180089950561523
0,1,0,0,52,68.07255744934082
0,0,1,0,55,8.967161178588867
0,0,1,0,54,8.611917495727539
0,1,0,0,41,22.55392074584961
0,1,0,0,42,66.83135032653809
0,1,0,0,41,22.647857666015625
0,1,0,0,52,68.40276718139648
3,1,0,0,244,190.96660614013672
0,1,0,0,42,67.00325012207031
2,0,1,1,244,29.536724090576172
0,1,0,0,38,67.3990249633789
0,1,0,0,41,22.823333740234375
0,0,0,1,50,8.93259048461914
0,0,0,1,50,8.802413940429688
0,1,0,0,38,13.542652130126953
0,0,0,1,51,8.086204528808594
0,1,0,0,38,33.38193893432617
0,1,0,0,52,68.33791732788086
1,1,0,0,132,125.22721290588379
0,1,0,0,38,33.423423767089844
0,0,1,0,55,8.90207290649414
0,1,0,0,41,22.688627243041992
0,0,1,0,49,2.575397491455078
0,0,1,0,55,8.753776550292969
1,0,1,0,131,12.555837631225586
0,1,0,0,38,66.98751449584961
0,1,0,0,38,33.451080322265625
0,1,0,0,52,69.0159797668457
0,0,1,0,54,8.78000259399414
0,1,0,0,60,12.258291244506836
0,0,0,1,51,8.112668991088867
0,1,0,0,60,12.184619903564453
2,0,1,1,244,26.436567306518555
0,0,1,0,49,2.4323463439941406
0,0,1,0,54,8.488178253173828
0,1,0,0,41,23.051023483276367
0,1,0,0,60,12.435197830200195
2,0,1,1,244,26.465415954589844
0,0,0,1,51,8.171558380126953
0,0,0,1,51,8.109569549560547
0,1,0,0,60,12.197017669677734
2,0,1,1,244,26.49521827697754
0,1,0,0,41,22.515058517456055
0,1,0,0,41,23.136377334594727
0,1,0,0,52,68.55893135070801
1,0,1,0,131,13.145208358764648
3,1,0,0,244,191.58625602722168
0,1,0,0,38,14.111995697021484
0,1,0,0,41,23.53358268737793
0,1,0,0,38,67.71254539489746
0,1,0,0,52,69.23627853393555
0,1,0,0,52,69.58770751953125
0,0,0,1,50,9.362459182739258
1,0,1,0,131,12.901544570922852
0,1,0,0,38,68.69292259216309
0,0,0,1,51,8.351802825927734
0,1,0,0,38,13.566732406616211
0,1,0,0,38,68.76969337463379
0,0,1,0,49,2.5413036346435547
3,1,0,0,244,190.6263828277588
0,1,0,0,38,13.948202133178711
0,1,0,0,38,48.497676849365234
1,0,1,0,131,13.461589813232422
0,0,1,0,54,8.733749389648438
0,1,0,0,41,22.713422775268555
0,1,0,0,38,13.828754425048828
0,0,1,0,49,2.452850341796875
3,1,0,0,244,190.16695022583008
0,1,0,0,49,22.82118797302246
0,1,0,0,41,22.60303497314453
0,1,0,0,49,22.578716278076172
1,0,1,0,131,12.898445129394531
0,0,1,0,55,8.757352828979492
0,1,0,0,41,22.687911987304688
0,1,0,0,38,13.798952102661133
0,1,0,0,41,22.731304168701172
0,1,0,0,60,12.33983039855957
3,1,0,0,244,191.1759376525879
0,1,0,0,42,78.32098007202148
3,1,0,0,244,189.8343563079834
0,1,0,0,49,22.797107696533203
1,1,0,0,132,125.16212463378906
